Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.68,-59.0,180.0,top
C2,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.3,-63.01,180.0,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.87,-54.36,90.0,top
C4,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,86.43,-61.77,180.0,top
C5,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,94.94,-69.18,-90.0,top
C6,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.6205,-49.53,0.0,top
C7,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.23,-58.12,90.0,top
C8,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.5,-49.4,0.0,top
C9,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,107.84,-55.78,0.0,top
C10,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,109.3,-61.86,45.0,top
C11,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,103.632,-68.834,0.0,top
C12,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,101.18,-69.65,-90.0,top
C13,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.11,-68.57,-90.0,top
C14,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,88.392,-54.356,90.0,top
C15,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,96.21,-69.14,-90.0,top
C16,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.31,-49.42,180.0,top
C17,22uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,87.1875,-65.88,180.0,top
C18,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,105.17,-75.255,-90.0,top
C19,4.7uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.47,-78.21,0.0,top
C20,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,93.33,-69.23,-90.0,top
C21,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,90.04,-69.08,-90.0,top
C22,0.01uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,91.5825,-69.1475,-90.0,top
C23,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,119.02,-73.5225,-90.0,top
C24,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,121.88,-73.5225,-90.0,top
C25,0.01uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,124.73,-73.5225,-90.0,top
FB1,600Ω@100MHz,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,86.93,-64.44,0.0,top
FB2,600Ω@100MHz,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,97.54,-69.14,90.0,top
FB3,600Ω@100MHz,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,99.0,-69.23,90.0,top
FB4,600Ω@100MHz,L_0603_1608Metric_Pad1.05x0.95mm_HandSolder,88.59,-68.62,90.0,top
HDMI1,HDMI-019S,HDMI-SMD_HDMI-019S,74.075,-56.57,-90.0,top
IC1,SN75LVDS83B,TSSOP56,121.67,-57.51,-90.0,top
J1,20374-R30E-31,I-PEX_20374-R30E-31,118.64,-67.11,0.0,top
R1,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,87.31,-72.9075,0.0,top
R2,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,84.25,-75.5075,-90.0,top
R3,4.7K,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,81.36,-50.37,180.0,top
U1,TFP401,TFP401,97.795948,-58.809999,90.0,top
U2,24LC02B,SOT-23-5_HandSoldering,87.41,-75.52,180.0,top
U3,AP2114H-2.5,SOT-223-3_TabPin2,110.95,-76.2225,-90.0,top
